designation,quantite,prix_achat,cout_revient_pourcentage,cout_revient,prix_gros_pourcentage,prix_gros,prix_vente_pourcentage,prix_vente,
كورديكس ممتاز ZHEKANG,6.00,19,2,19.38,10,20.9,25,23.75,19
شكوتش اسود Selsil,16.00,35,2,35.7,10,38.5,25,43.75,35
INGCO 215mm مقص,3.00,15,2,15.3,10,16.5,25,18.75,15
سيبور صباغة 2m BM,6.00,75,2,76.5,10,82.5,25,93.75,75
رولو Securite احمر ابيض,31.00,29,2,29.58,10,31.9,25,36.25,29
طيفلون كبير,33.00,9,2,9.18,10,9.9,25,11.25,9
طيفلون صغير,83.00,3,2,3.06,10,3.3,25,3.75,3
VALUE TAPE pvc شكوتش اسود,41.00,8,2,8.16,10,8.8,25,10,8
شكوتش كاروسري HP‏1171,91.00,65,2,66.3,10,71.5,25,81.25,65
كراطة جاج,20.00,6,2,6.12,10,6.6,25,7.5,6
راس بوطا إيطالي,0.00,30,2,30.6,10,33,25,37.5,30
يد مكينة زليج RUBI 2eme ازرق,3.00,140,2,142.8,10,154,25,175,140
كومة مستيك اسود,17.00,22,2,22.44,10,24.2,25,27.5,22
تيب لاريزين,5.00,10,2,10.2,10,11,25,12.5,10
شكوتش ابيض غليض MIA,493.00,15,2,15.3,10,16.5,25,18.75,15
AKRO 24mm شكوتش ابيض,"1  356,00",6,2,6.12,10,6.6,25,7.5,6
AKRO 18mm شكوتش ابيض,-2.00,5,2,5.1,10,5.5,25,6.25,5
MIARCO 48mm شكوتش ابيض,274.00,15,2,15.3,10,16.5,25,18.75,15
لقاط زليج اصفر احمر,26.00,36,2,36.72,10,39.6,25,45,36
تيو الماء 1 مكينة منشار,3.00,75,2,76.5,10,82.5,25,93.75,75
تيو الماء 2 مكينة منشار,2.00,160,2,163.2,10,176,25,200,160
راس لقاط حديد 36,16.00,50,2,51,10,55,25,62.5,50
(1000) RUBI 2mm بكية زائد,20.00,75,2,76.5,10,82.5,25,93.75,75
(1000) RUBI 3mm بكية زائد,27.00,115,2,117.3,10,126.5,25,143.75,115
(1000) RUBI 4mm بكية زائد,42.00,160,2,163.2,10,176,25,200,160
(200) DAKOTA 2mm بكية زائد,40.00,22,2,22.44,10,24.2,25,27.5,22
(200) DAKOTA 3mm بكية زائد,12.00,24,2,24.48,10,26.4,25,30,24
(200) DAKOTA 4mm بكية زائد,15.00,24,2,24.48,10,26.4,25,30,24
(200) DAKOTA 1mm بكية زائد,19.00,22,2,22.44,10,24.2,25,27.5,22
(200) DAKOTA 5mm بكية زائد,80.00,24,2,24.48,10,26.4,25,30,24
(1000) RUBI 5mm بكية زائد,17.00,196,2,199.92,10,215.6,25,245,196
سيبور تقطاع غبرة DOTCHTEK كبيرة,5.00,210,2,214.2,10,231,25,262.5,210
سيبور تقطاع غبرة DOTCHTEK صغيرة,4.00,180,2,183.6,10,198,25,225,180
فشفاشة H2O صغيرة,8.00,7,2,7.14,10,7.7,25,8.75,7
DINGQI 30 750mm سرجوان,11.00,65,2,66.3,10,71.5,25,81.25,65
ليخة الماء 220,-909.00,2,2,2.04,10,2.2,25,2.5,2
ليخة الماء 180,-708.00,2,2,2.04,10,2.2,25,2.5,2
متر ليخة صفراء 60 {50M},314.00,4,2,4.08,10,4.4,25,5,4
متر ليخة صفراء 80 {50m},144.65,4,2,4.08,10,4.4,25,5,4
متر ليخة صفراء 100[50m],-15.00,4,2,4.08,10,4.4,25,5,4
SAINTLUX 50 D50M} متر ليخة حمراء,29.00,11,2,11.22,10,12.1,25,13.75,11
شاليمو صغير 3 VELAR,5.00,100,2,102,10,110,25,125,100
شاليمو VELAR كبير,1.00,77,2,78.54,10,84.7,25,96.25,77
مكدي ديكاجور 17*350 PNT,17.00,25,2,25.5,10,27.5,25,31.25,25
مكدي ديكاجور 18*400 PNT,36.00,20,2,20.4,10,22,25,25,20
PLAT 400*17 مكدي ديكاجور,40.00,20,2,20.4,10,22,25,25,20
مكدي ديكاجور 17*400 PNT,44.00,20,2,20.4,10,22,25,25,20
مكدي ديكاجور 14*250 PNT,86.00,9,2,9.18,10,9.9,25,11.25,9
مكدي ديكاجور 30*410 PNT,2.00,75,2,76.5,10,82.5,25,93.75,75
PLAT 410*30 مكدي ديكاجور,6.00,75,2,76.5,10,82.5,25,93.75,75
رطبة‎ 3pcs DRILL BRUSH SET بروس,4.00,32,2,32.64,10,35.2,25,40,32
حرش‎ 3pcs DRILL BRUSH SET بروس,6.00,32,2,32.64,10,35.2,25,40,32
ABC 8*160mm بروكة هيلتي,-2.00,5,2,5.1,10,5.5,25,6.25,5
ABC 10*160mm بروكة هيلتي,7.00,6,2,6.12,10,6.6,25,7.5,6
ABC 12*160mm بروكة هيلتي,7.00,7,2,7.14,10,7.7,25,8.75,7
ABC 8*210mm بروكة هيلتي,-2.00,6,2,6.12,10,6.6,25,7.5,6
VETOOLS 10*210mm بروكة هيلتي,9.00,6,2,6.12,10,6.6,25,7.5,6
ABC 12*210mm بروكة هيلتي,3.00,7,2,7.14,10,7.7,25,8.75,7
ABC 14*210mm بروكة هيلتي,3.00,8,2,8.16,10,8.8,25,10,8
ABC 16*210mm بروكة هيلتي,9.00,10,2,10.2,10,11,25,12.5,10
ABC 12*310mm بروكة هيلتي,2.00,11,2,11.22,10,12.1,25,13.75,11
ABC 14*310mm بروكة هيلتي,10.00,13,2,13.26,10,14.3,25,16.25,13
ABC 16*310mm بروكة هيلتي,10.00,16,2,16.32,10,17.6,25,20,16
ABC 14*410mm بروكة هيلتي,10.00,16,2,16.32,10,17.6,25,20,16
ABC 16*410mm بروكة هيلتي,7.00,20,2,20.4,10,22,25,25,20
ABC 18*410mm بروكة هيلتي,9.00,27,2,27.54,10,29.7,25,33.75,27
ABC 20*410mm بروكة هيلتي,6.00,34,2,34.68,10,37.4,25,42.5,34
ركلة بميزان VITO 1.5m,2.00,140,2,142.8,10,154,25,175,140
EPOXY blanc كولا,38.00,355,2,362.1,10,390.5,25,443.75,355
EPOXY gris كولا,25.00,355,2,362.1,10,390.5,25,443.75,355
EPOXY crema كولا,16.00,355,2,362.1,10,390.5,25,443.75,355
EPOXY noir كولا,20.00,355,2,362.1,10,390.5,25,443.75,355
Fiche femelle 2P+T بريز انثى,20.00,7,2,7.14,10,7.7,25,8.75,7
Fiche femelle 2P+T بريز دكر,0.00,6,2,6.12,10,6.6,25,7.5,6
روشكة SUPERNOVA 9Wمصباح,7.00,7,2,7.14,10,7.7,25,8.75,7
مسمار SUPERNOVA 9Wمصباح,2.00,7,2,7.14,10,7.7,25,8.75,7
مصباحMOTA 9W مسمار,21.00,7,2,7.14,10,7.7,25,8.75,7
مصباحMOTA 9W روشكة,-3.00,7,2,7.14,10,7.7,25,8.75,7
روشكة SUPERNOVA 7Wمصباح,9.00,6,2,6.12,10,6.6,25,7.5,6
شوفي ميطاليك كرومي 10*90,-88.00,3,2,3.06,10,3.3,25,3.75,3
مسمار ساروت 8*60,143.00,1,2,1.02,10,1.1,25,1.25,1
شوفي ميطاليك كرومي 12*140,36.00,5,2,5.1,10,5.5,25,6.25,5
مسمار ساروت 6*40,588.00,0,2,0,10,0,25,0,0
شوفي ميطاليك كرومي 16*100,40.00,8,2,8.16,10,8.8,25,10,8
شوفي ميطاليك كرومي 14*140,46.00,8,2,8.16,10,8.8,25,10,8
جفاف ابيض,42.00,5,2,5.1,10,5.5,25,6.25,5
شوفي ميطاليك نحاسي 16*200,29.00,15,2,15.3,10,16.5,25,18.75,15
مسمار ساروت 6*120,490.00,1,2,1.02,10,1.1,25,1.25,1
مسمار ساروت 6*30,610.00,1,2,1.02,10,1.1,25,1.25,1
شوفي ميطاليك كرومي 10*100,-85.00,3,2,3.06,10,3.3,25,3.75,3
شوفي ميطاليك كرومي 12*100,-39.00,4,2,4.08,10,4.4,25,5,4
شوفي ميطاليك كرومي 16*120,41.00,5,2,5.1,10,5.5,25,6.25,5
شوفي ميطاليك نحاسي 8*60,131.00,2,2,2.04,10,2.2,25,2.5,2
شوفي ميطاليك كرومي 8*100,83.00,2,2,2.04,10,2.2,25,2.5,2
شوفي ميطاليك كرومي 16*150,35.00,12,2,12.24,10,13.2,25,15,12
شوفي ميطاليك جبص 6*65,222.00,4,2,4.08,10,4.4,25,5,4
مسمار ساروت 8*120,121.00,1,2,1.02,10,1.1,25,1.25,1
مسمار ساروت 8*80,56.00,1,2,1.02,10,1.1,25,1.25,1
مسمار ساروت 6*90,459.00,1,2,1.02,10,1.1,25,1.25,1
شوفي ميطاليك كرومي 14*100,49.00,7,2,7.14,10,7.7,25,8.75,7
شوفي ميطاليك نحاسي 8*120,43.00,3,2,3.06,10,3.3,25,3.75,3
مسمار ساروت 8*50,69.00,1,2,1.02,10,1.1,25,1.25,1
شوفي ميطاليك كرومي 12*160,-39.00,5,2,5.1,10,5.5,25,6.25,5
مسمار ساروت 6*70,-176.00,1,2,1.02,10,1.1,25,1.25,1
مسمار ساروت 6*100,265.00,1,2,1.02,10,1.1,25,1.25,1
مسمار ساروت 6*60,78.00,0,2,0,10,0,25,0,0
شوفي ميطاليك نحاسي 10*120,-27.00,4,2,4.08,10,4.4,25,5,4
رونديلة 12*20,"1  183,00",0,2,0,10,0,25,0,0
رونديلة 25*6,"1  006,00",0,2,0,10,0,25,0,0
رونديلة 8*20,"1  716,00",0,2,0,10,0,25,0,0
رونديلة 12*30,"1  037,00",0,2,0,10,0,25,0,0
رونديلة 6*30,"1  185,00",0,2,0,10,0,25,0,0
رونديلة 8*30,"1  395,00",0,2,0,10,0,25,0,0
طويركة M‏14,118.00,1,2,1.02,10,1.1,25,1.25,1
طويركة M‏12,164.00,1,2,1.02,10,1.1,25,1.25,1
طويركة M‏10,182.00,0,2,0,10,0,25,0,0
طويركة M‏8,641.00,0,2,0,10,0,25,0,0
طويركة M‏6,"1  563,00",0,2,0,10,0,25,0,0
Tee 125,5.00,24,2,24.48,10,26.4,25,30,24
Tee 110,8.00,12,2,12.24,10,13.2,25,15,12
Tee 100,9.00,12,2,12.24,10,13.2,25,15,12
Tee 75,9.00,8,2,8.16,10,8.8,25,10,8
Tee 200,2.00,115,2,117.3,10,126.5,25,143.75,115
Tee 160,3.00,45,2,45.9,10,49.5,25,56.25,45
كيلوط 200,2.00,115,2,117.3,10,126.5,25,143.75,115
كيلوط 160,2.00,48,2,48.96,10,52.8,25,60,48
كيلوط 125,4.00,23,2,23.46,10,25.3,25,28.75,23
كيلوط 110,12.00,17,2,17.34,10,18.7,25,21.25,17
كيلوط 100,9.00,12,2,12.24,10,13.2,25,15,12
كيلوط 75,7.00,8,2,8.16,10,8.8,25,10,8
لافابو دوبل 46*79 Asil انوكس,2.00,750,2,765,10,825,25,937.5,750
كود مفتوح 200,-1.00,64,2,65.28,10,70.4,25,80,64
كود مفتوح 160,13.00,24,2,24.48,10,26.4,25,30,24
كود مفتوح 125,19.00,13,2,13.26,10,14.3,25,16.25,13
كود مفتوح 110,31.00,10,2,10.2,10,11,25,12.5,10
كود مفتوح 100,19.00,6,2,6.12,10,6.6,25,7.5,6
كود مفتوح 75,22.00,5,2,5.1,10,5.5,25,6.25,5
كود مفتوح 50,20.00,2,2,2.04,10,2.2,25,2.5,2
كود مفتوح 40,21.00,1,2,1.02,10,1.1,25,1.25,1
كود مشدود 200,5.00,48,2,48.96,10,52.8,25,60,48
كود مشدود 160,4.00,25,2,25.5,10,27.5,25,31.25,25
كود مشدود 125,25.00,13,2,13.26,10,14.3,25,16.25,13
كود مشدود 110,28.00,8,2,8.16,10,8.8,25,10,8
كود مشدود 100,2.00,7,2,7.14,10,7.7,25,8.75,7
كود مشدود 75,25.00,5,2,5.1,10,5.5,25,6.25,5
كود مشدود 50,44.00,2,2,2.04,10,2.2,25,2.5,2
كود مشدود 40,23.00,1,2,1.02,10,1.1,25,1.25,1
Tee 50,20.00,5,2,5.1,10,5.5,25,6.25,5
Tee 40,20.00,3,2,3.06,10,3.3,25,3.75,3
كيلوط 50,7.00,5,2,5.1,10,5.5,25,6.25,5
كيلوط 40,21.00,3,2,3.06,10,3.3,25,3.75,3
ريديكسيون 40*32,15.00,2,2,2.04,10,2.2,25,2.5,2
Fugabella color 24 COLOR 20kg,4.00,482,2,491.64,10,530.2,25,602.5,482
Spot led SC-0091-WH,6.00,42,2,42.84,10,46.2,25,52.5,42
Spot led SC-0091-TEA,6.00,42,2,42.84,10,46.2,25,52.5,42
Spot led SR-0074-CF,8.00,35,2,35.7,10,38.5,25,43.75,35
Spot led SC-1200-WH,6.00,42,2,42.84,10,46.2,25,52.5,42
Spot led SC-0122-TEA,5.00,42,2,42.84,10,46.2,25,52.5,42
Spot led SR-0076-BK,5.00,35,2,35.7,10,38.5,25,43.75,35
ريديكسيون 40*50,26.00,3,2,3.06,10,3.3,25,3.75,3
ريديكسيون 50*75,18.00,4,2,4.08,10,4.4,25,5,4
ريديكسيون 75*100,10.00,7,2,7.14,10,7.7,25,8.75,7
110*40*40*40 ريديكسيون,10.00,9,2,9.18,10,9.9,25,11.25,9
100*40*40*32 ريديكسيون,10.00,12,2,12.24,10,13.2,25,15,12
ريديكسيون 40*100,14.00,7,2,7.14,10,7.7,25,8.75,7
ريديكسيون 50*100,12.00,7,2,7.14,10,7.7,25,8.75,7
ريديكسيون 50*110,10.00,7,2,7.14,10,7.7,25,8.75,7
ريديكسيون 40*110,20.00,7,2,7.14,10,7.7,25,8.75,7
ريديكسيون 75*110,9.00,7,2,7.14,10,7.7,25,8.75,7
ريديكسيون 100*125,10.00,9,2,9.18,10,9.9,25,11.25,9
ريديكسيون 160*200,5.00,35,2,35.7,10,38.5,25,43.75,35
ريديكسيون 75*125,10.00,9,2,9.18,10,9.9,25,11.25,9
ريديكسيون 100*110,10.00,7,2,7.14,10,7.7,25,8.75,7
ريديكسيون 110*125,8.00,9,2,9.18,10,9.9,25,11.25,9
ريديكسيون 125*160,4.00,21,2,21.42,10,23.1,25,26.25,21
بريدة اسود (50),370.00,1,2,1.02,10,1.1,25,1.25,1
"(100) 250*7,2 بريدة بيضاء",819.00,0,2,0,10,0,25,0,0
"(100) 200*7,2 بريدة بيضاء",572.00,0,2,0,10,0,25,0,0
كاسك ابيض,2.00,19,2,19.38,10,20.9,25,23.75,19
BOSH BATRY لامون,2.00,24,2,24.48,10,26.4,25,30,24
كاسك احمر,2.00,19,2,19.38,10,20.9,25,23.75,19
بريدة حديد 30-45mm,86.00,3,2,3.06,10,3.3,25,3.75,3
بريدة حديد 8-12mm,39.00,1,2,1.02,10,1.1,25,1.25,1
بريدة حديد 16-25mm,79.00,2,2,2.04,10,2.2,25,2.5,2
بريدة حديد 10-20mm,77.00,2,2,2.04,10,2.2,25,2.5,2
بريدة حديد 10-16mm,54.00,1,2,1.02,10,1.1,25,1.25,1
بريدة حديد 50-70mm,153.00,4,2,4.08,10,4.4,25,5,4
بريدة حديد 20-32mm,83.00,2,2,2.04,10,2.2,25,2.5,2
بريدة حديد 32-50mm,78.00,3,2,3.06,10,3.3,25,3.75,3
بريدة حديد 40-60mm,-1.00,4,2,4.08,10,4.4,25,5,4
كيسان زجاج مربع,1.00,22,2,22.44,10,24.2,25,27.5,22
باش ازرق 4*3,16.00,90,2,91.8,10,99,25,112.5,90
"dakota 250 pcs زيار زليج 5,0 ملم","1  036,00",90,2,91.8,10,99,25,112.5,90
dakota 100pcs طاكون زيار,5.00,61,2,62.22,10,67.1,25,76.25,61
bilt5 mm 200pcs زيار,-22.00,68,2,69.36,10,74.8,25,85,68
bilt4 mm 200pcs زيار,16.00,68,2,69.36,10,74.8,25,85,68
حبة فرشي ابيض 2 (50),648.00,3,2,3.06,10,3.3,25,3.75,3
حبة فرشي ابيض 3 (33),"2  242,00",5,2,5.1,10,5.5,25,6.25,5
حبة فرشي ابيض 4 (25),"1  016,00",6,2,6.12,10,6.6,25,7.5,6
حبة فرشي ابيض 5 (20),"2  536,00",8,2,8.16,10,8.8,25,10,8
كيلو شعر بيضاء,170.51,31,2,31.62,10,34.1,25,38.75,31
كيلو بلاستيك 2 متر الوان,212.70,13,2,13.26,10,14.3,25,16.25,13
"كيلو بلاستيك1,5 متر الوان",482.01,13,2,13.26,10,14.3,25,16.25,13
بلاكى فرشي ازرق danosa,-193.00,56,2,57.12,10,61.6,25,70,56
ممتاز‎ 200orange طوبو,-38.00,492,2,501.84,10,541.2,25,615,492
طوبو 110 ممتاز,10.00,53,2,54.06,10,58.3,25,66.25,53
طوبو 40 ممتاز,13.67,26,2,26.52,10,28.6,25,32.5,26
طوبو 50 ممتاز,19.00,26,2,26.52,10,28.6,25,32.5,26
طوبو 75 ممتاز,12.00,38,2,38.76,10,41.8,25,47.5,38
طوبو 125 ممتاز,7.00,68,2,69.36,10,74.8,25,85,68
طوبو 160 ممتاز,11.00,101,2,103.02,10,111.1,25,126.25,101
طوبو 200 ممتاز,7.00,135,2,137.7,10,148.5,25,168.75,135
MORTECOL JUNTA 5KG 1,9.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 8,0.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 10,0.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 13,3.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 19,9.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 20,5.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 23,5.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 24,11.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 25,5.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 26,9.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 27,-10.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 30,8.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 32,8.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 33,5.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 34,-1.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 35,11.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 40,2.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 43,11.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 44,9.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 45,2.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 47,11.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 48,2.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 63,11.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 64,5.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 70,4.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 71,4.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 72,1.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 80,5.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 83,7.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 87,7.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 89,2.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 77,6.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 113,0.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG 1450,0.00,94,2,95.88,10,103.4,25,117.5,94
MORTECOL JUNTA 5KG ANCHA 1,12.00,132,2,134.64,10,145.2,25,165,132
MORTECOL JUNTA 5KG ANCHA P,0.00,132,2,134.64,10,145.2,25,165,132
MORTECOL JUNTA 5KG ANCHA 6,0.00,132,2,134.64,10,145.2,25,165,132
MORTECOL JUNTA 5KG ANCHA P,0.00,132,2,134.64,10,145.2,25,165,132
MORTECOL JUNTA 5KG ANCHA P,0.00,132,2,134.64,10,145.2,25,165,132
طوبو دريناج 160 ملم 6 متر اسود,0.00,312,2,318.24,10,343.2,25,390,312
رويدة برويطة,16.00,45,2,45.9,10,49.5,25,56.25,45
pegran 200pcs زيار زليج 1 ملم,-7.00,105,2,107.1,10,115.5,25,131.25,105
سطيرنا 1 طن,0.00,600,2,612,10,660,25,750,600
برامل حديد,39.00,90,2,91.8,10,99,25,112.5,90
برويطة زرقاء تركيا,1.00,320,2,326.4,10,352,25,400,320
برويطة برتقالية+خضرة ممتازة,8.00,420,2,428.4,10,462,25,525,420
normale برويطة,8.00,320,2,326.4,10,352,25,400,320
"(2,2*6) 3,5*3,5 شبكة الأرض",-280.00,80,2,81.6,10,88,25,100,80
زيار زليج احمر واسود 50pcs,85.00,48,2,48.96,10,52.8,25,60,48
شكارة الرملة,"-12  112,15",12,2,12.24,10,13.2,25,15,12
شكارة كرافيطة,-219.00,10,2,10.2,10,11,25,12.5,10
شكارة بربو,"-5  359,50",9,2,9.18,10,9.9,25,11.25,9
شكارة كرابة,"-2  190,00",9,2,9.18,10,9.9,25,11.25,9
kivlage nanoflex 20kg,71.00,624,2,636.48,10,686.4,25,780,624
"سيكى 0,5 كيلو",-781.00,15,2,15.3,10,16.5,25,18.75,15
سيكى 1 كيلو,-264.00,29,2,29.58,10,31.9,25,36.25,29
lafarge 35 اسمنت,"-11  514,00",76,2,77.52,10,83.6,25,95,76
plano gel reho 20 kg kerakoll رض,31.00,206,2,210.12,10,226.6,25,257.5,206
general fonce كولا كريمة,79.00,47,2,47.94,10,51.7,25,58.75,47
كولا سوداء general,366.00,44,2,44.88,10,48.4,25,55,44
كولا كريمة general,464.00,47,2,47.94,10,51.7,25,58.75,47
كولا بيضاء general,442.00,47,2,47.94,10,51.7,25,58.75,47
general كولا شحمة,296.00,63,2,64.26,10,69.3,25,78.75,63
كولا رمادي general,379.00,45,2,45.9,10,49.5,25,56.25,45
كولا شحمة mixer,-4.00,68,2,69.36,10,74.8,25,85,68
general كولا زيت,217.00,65,2,66.3,10,71.5,25,81.25,65
كولا اطلس 4 كيلو,154.00,96,2,97.92,10,105.6,25,120,96
كولا اوروليت 4 كيلو,7.00,90,2,91.8,10,99,25,112.5,90
كوتشو اسطرال سيلاكوى 30 كيلو,-126.00,320,2,326.4,10,352,25,400,320
كوتشو اسطرال فينيل 30 كيلو,9.00,430,2,438.6,10,473,25,537.5,430
implafix 20 kg سطل,2.00,720,2,734.4,10,792,25,900,720
رولو كرياج كرفانيزي 50 متر,-37.00,325,2,331.5,10,357.5,25,406.25,325
رولو كرياج عادي 50 متر,60.00,120,2,122.4,10,132,25,150,120
رولو غربال 50 متر,1.00,700,2,714,10,770,25,875,700
رولو زفت 3 ملم حرش اخضر,17.00,408,2,416.16,10,448.8,25,510,408
رولو زفت 4 ملم رطب,-39.00,392,2,399.84,10,431.2,25,490,392
رولو زفت 2 ملم رطب,29.00,240,2,244.8,10,264,25,300,240
رولو زفت 3 ملم حرش رمادي,19.00,393,2,400.86,10,432.3,25,491.25,393
رولو زفت 4 ملم مرمل polyster,-203.00,442,2,450.84,10,486.2,25,552.5,442
رولو زفت 4 ملم حرش رمادي,18.50,432,2,440.64,10,475.2,25,540,432
رولو زفت 4 ملم حرش رمادي polyster,-34.00,498,2,507.96,10,547.8,25,622.5,498
رولو زفت 3 ملم رطب,-93.00,345,2,351.9,10,379.5,25,431.25,345
رولو زفت 4 ملم حرش اخضر,37.00,451,2,460.02,10,496.1,25,563.75,451
رولو زفت 4 ملم حرش اخضر polyster,12.00,518,2,528.36,10,569.8,25,647.5,518
kivlage danosa 20 kg,1.00,450,2,459,10,495,25,562.5,450
كيلو ميطالون اطلس,"-2  483,00",25,2,25.5,10,27.5,25,31.25,25
متر زفت 4 ملم مرمل polyster,4.10,45,2,45.9,10,49.5,25,56.25,45
متر زفت 4ملم رطب,-23.16,41,2,41.82,10,45.1,25,51.25,41
متر زفت حرش 4 ملم رمادي polyster,9.10,51,2,52.02,10,56.1,25,63.75,51
متر زفت 4 ملم حرش اخضر,-7.90,45,2,45.9,10,49.5,25,56.25,45
متر شبكة بيضاء,-127.80,3,2,3.06,10,3.3,25,3.75,3
متر كرياج كرفانيزي,-68.90,7,2,7.14,10,7.7,25,8.75,7
كيلو مسمار 10,-309.30,13,2,13.26,10,14.3,25,16.25,13
كيلو مسمار 6,-142.47,13,2,13.26,10,14.3,25,16.25,13
كيلو سلك اسود,"-1  128,75",13,2,13.26,10,14.3,25,16.25,13
كيلو سلك ابيض رقيق,65.00,18,2,18.36,10,19.8,25,22.5,18
كيلو اسمنت بيضاء,-501.50,2,2,2.04,10,2.2,25,2.5,2
كيلو الجبص,-213.20,1,2,1.02,10,1.1,25,1.25,1
كيلو اسمنت سوداء,-383.10,1,2,1.02,10,1.1,25,1.25,1
كيلو سلك ابيض غليظ,-5.50,18,2,18.36,10,19.8,25,22.5,18
متر شبكة ناموس بيضاء,42.65,10,2,10.2,10,11,25,12.5,10
متر شبكة ناموس رمادية,50.00,10,2,10.2,10,11,25,12.5,10
كيلو صباغة حمراء,407.12,40,2,40.8,10,44,25,50,40
كيلو صباغة سوداء,-5.66,40,2,40.8,10,44,25,50,40
كيلو صباغة صفراء,2.11,40,2,40.8,10,44,25,50,40
كيلو شمع,3.30,51,2,52.02,10,56.1,25,63.75,51
متر مربع كازو اخضر GAZO,9.80,130,2,132.6,10,143,25,162.5,130
PEGOLAND EXTRA BLANC 25 KG,"-7  823,00",42,2,42.84,10,46.2,25,52.5,42
PEGOLAND GRIS NORMALE 25 K,-675.00,31,2,31.62,10,34.1,25,38.75,31
PEGOLAND FLEX BLANC 554 25,"-1  684,00",108,2,110.16,10,118.8,25,135,108
PEGOLAND FLEX GRIS 414 25 KG,-990.00,90,2,91.8,10,99,25,112.5,90
SIKA I 80 GRIS 25 KG,-187.00,35,2,35.7,10,38.5,25,43.75,35
PEGOLAND ESPESIAL BLANCO 2,"-2  048,00",73,2,74.46,10,80.3,25,91.25,73
PEGOLAND ESPESIAL GRIS 25 K,"-1  088,00",54,2,55.08,10,59.4,25,67.5,54
SUPER COLA GRIS 25 KG,0.00,33,2,33.66,10,36.3,25,41.25,33
SIKA 522 25 KG,749.00,91,2,92.82,10,100.1,25,113.75,91
SIKA M70 BLANC 20 KG,"-2  737,00",33,2,33.66,10,36.3,25,41.25,33
MORTIFIX BLANCO 25 KG,-62.00,66,2,67.32,10,72.6,25,82.5,66
MORTECOLOR GRIS 25 KG,40.00,143,2,145.86,10,157.3,25,178.75,143
MORTIFIX GRIS 25 KG,26.00,53,2,54.06,10,58.3,25,66.25,53
MORTE PORCELANICO BLANC 25,-1.00,121,2,123.42,10,133.1,25,151.25,121
MORTEMAMBRANA GRIS 25 KG,84.00,290,2,295.8,10,319,25,362.5,290
MORTEPISO SOBRE PISO 25 KG,-1.00,165,2,168.3,10,181.5,25,206.25,165
MORTEPISINA BLANCO 25 KG,-7.00,165,2,168.3,10,181.5,25,206.25,165
MAYOR FLEX BLANCO 25 KG,-4.00,45,2,45.9,10,49.5,25,56.25,45
SIKA I80 BLANC 25 KG,"-3  968,00",46,2,46.92,10,50.6,25,57.5,46
ALPHA BLANC 25 KG,-3.00,34,2,34.68,10,37.4,25,42.5,34
ALPHA FLEX BLANC 25 KG,1.00,80,2,81.6,10,88,25,100,80
POLY WR BLANCO KERAKOLL 20,87.00,55,2,56.1,10,60.5,25,68.75,55
BIO FLEX BLANCO 25 KG,-26.00,110,2,112.2,10,121,25,137.5,110
